id	count
PLG	55
SRM	55
TRD	55
D1D	55
CAF	55
PR	55
DHT	55
HPA	55
BFD	54
I77	54
OCA	54
PAM	54
LBV	54
MO	54
AYE	54
DBB	54
BMT	54
TBU	54
CBR	54
EST	53
2DA	53
BMP	53
UQ1	53
DMF	53
PCG	53
NMN	53
G3P	53
P4G	53
DHA	52
BE7	52
3AU	52
RU	52
M7G	52
PE3	52
ICS	52
FGA	51
DPP	51
SM	51
MS6	51
G4P	51
CRQ	51
LYR	51
ARS	51
HDD	51
ICT	51
UMQ	50
GYS	50
MC3	50
PGT	50
DAB	50
GMP	50
4WI	50
SCH	49
PEF	49
DZ4	49
9Z9	49
NAJ	48
AKR	48
YT3	48
DCT	48
PO3	48
SME	48
SRO	47
ADA	47
CBV	47
ASC	47
SPN	47
KAI	46
HAS	46
SLB	46
MLU	46
U1H	46
MOO	46
A23	46
PC	46
SNC	46
BG6	46
5IU	46
8DG	45
IVA	45
GHP	45
PQQ	45
2CV	45
W	45
GDU	45
COM	45
LU8	45
MA4	44
DKA	44
MHO	44
O4B	44
SCY	44
IUM	44
PPU	44
COH	44
LAC	44
D5M	44
DTU	43
FTR	43
DXC	43
TRQ	43
HEB	43
TTD	43
CP	43
BPB	43
6MA	43
DDE	43
GCS	42
HSM	42
STA	42
XCP	42
ACN	42
G39	42
QQ4	42
GTA	42
CLM	42
MN3	42
78M	42
F9F	42
ETF	42
ACV	41
DST	41
UFP	41
BTI	41
2GP	41
ORP	41
MED	41
HOA	41
EIC	41
AJP	41
OHX	41
TYQ	41
NIY	40
ZK1	40
EEP	40
1PS	40
2DT	40
UQ9	40
2PG	40
DTD	40
3FG	40
EPH	40
ERY	40
MTN	40
PEB	39
CB3	39
3PO	39
LI1	39
TOX	39
BB2	39
GTX	39
ETX	39
6OG	39
GPP	39
XYL	39
HCS	39
G3H	39
0JO	39
BDF	38
MDO	38
INS	38
MAE	38
GCU	38
UY1	38
2OP	37
LMN	37
8AN	37
A8S	37
AZM	37
SKM	37
STL	37
TOE	37
I	37
F09	37
SGC	36
IRI	36
MQ7	36
CYZ	36
CM0	36
UQ8	36
MF4	36
SGM	36
TZD	36
WHL	36
ACM	36
DDQ	36
MRG	36
CPL	35
STR	35
OMY	35
CF0	35
ASJ	35
IAC	35
M7A	35
QUE	35
MPG	35
FK5	35
MOS	35
TES	35
MGT	35
2HP	35
URC	35
API	35
URI	35
NS5	34
4BF	34
CAA	34
PMS	34
BET	34
THJ	34
LDP	34
GLV	34
TCL	34
ETE	34
MGP	34
DOR	34
CM5	34
B7G	34
FAR	34
LPE	34
GCD	34
U8U	34
DBU	33
BUA	33
G2F	33
THG	33
RTL	33
MGF	33
BO2	33
RIP	33
3CO	33
ERG	33
DHB	33
BCB	33
NMM	33
MQ9	33
S3P	33
SOG	33
DTV	33
ACD	32
BE2	32
6NA	32
DCQ	32
PRF	32
IYR	32
MP8	32
CRF	32
QUS	32
5HC	32
NH3	32
AV0	31
GGL	31
TP7	31
T27	31
ZMA	31
DEP	31
PT5	31
RIB	31
B8H	31
PNM	31
ZDC	31
RRX	31
1BO	31
B3E	31
AAB	31
EDT	31
2NC	31
4LU	31
KR	31
EVB	31
CCS	31
XPE	30
YCP	30
BB9	30
PLS	30
GAR	30
ROC	30
FOR	30
DMA	30
DAH	30
BES	30
TG1	30
NOJ	30
NMY	30
BGM	30
1SY	29
0U	29
EMC	29
AG2	29
TOP	29
AGM	29
NCD	29
MPT	29
GL3	29
DGP	29
6PL	29
FER	29
B8Q	29
LNK	29
A1AIV	29
08T	29
4IP	29
FPS	29
DCZ	29
E64	29
PGH	29
CTN	29
GTG	29
0G	29
GU4	29
HAE	29
NOS	28
3BV	28
ASD	28
MSU	28
XMP	28
UD2	28
STI	28
MBN	28
PLR	28
I3C	28
CR8	28
C15	28
BO4	28
TCE	28
CNC	28
B3K	28
0AF	28
AE3	28
6EU	28
0C	28
FAH	28
6NT	28
OEY	28
004	28
P4C	28
I6W	28
CEF	27
F43	27
DCM	27
IML	27
GDD	27
45D	27
AR7	27
ACB	27
IM2	27
ZMR	27
P15	27
1FZ	27
C2O	27
2YR	27
PED	27
UQ2	27
SEB	27
F6R	27
ASA	27
HBI	27
5CT	27
IFM	27
LAB	26
GTR	26
C2F	26
XP4	26
PCF	26
YYJ	26
CAQ	26
PFB	26
1ZN	26
OAS	26
E7G	26
3TL	26
GYC	26
I4U	26
OMZ	26
ASG	26
KAN	26
SF3	26
AMU	26
DHE	26
478	26
SRY	26
BOC	26
P7G	26
SO2	26
ECH	26
ADX	26
K36	26
HGB	26
T44	26
TRT	25
2KH	25
FON	25
MER	25
DXE	25
AX7	25
IPT	25
LPP	25
NT	25
SMA	25
5RP	25
MXE	25
DNE	25
MGN	25
GDS	25
Q7G	25
TAU	25
SOR	25
P5P	25
IGU	25
AN2	25
NVP	25
MHA	25
UMS	25
T1C	25
NVA	25
PHL	25
B9B	25
HY3	24
BGH	24
PAL	24
PEV	24
A2P	24
AES	24
BTM	24
B3L	24
UP6	24
NAR	24
AS	24
RAP	24
IMN	24
B8K	24
9CR	24
P4U	24
EF2	24
EQU	24
B8W	24
ACH	24
OS	24
PXZ	24
FVA	24
G1P	24
FFO	24
B9H	24
IR	24
TYI	23
TEW	23
5F0	23
SLL	23
NLG	23
1N1	23
OSM	23
2AN	23
CMC	23
FUA	23
MRY	23
HSE	23
U2F	23
XAN	23
URF	23
D3T	23
DU0	23
AMZ	23
DG3	23
PYO	23
B3D	23
KC2	23
XCC	23
MFU	23
FSC	23
GST	23
GRG	23
78N	23
8K6	23
YG	23
MCM	22
REA	22
TBR	22
3GP	22
B4P	22
SSA	22
ANN	22
NCY	22
SE	22
G6Q	22
CH6	22
RFP	22
ATR	22
TBG	22
CRT	22
T7X	22
NHW	22
S9L	22
XLS	22
LGU	22
HRG	22
TRX	22
ABN	22
YYG	22
KBE	22
UAL	22
7YY	22
GER	22
HBA	22
4NC	22
DND	22
23G	21
LA	21
04C	21
DPF	21
S6P	21
MAV	21
HFG	21
MUB	21
JMH	21
PIN	21
MH6	21
TYM	21
ARA	21
GLZ	21
QUI	21
DTB	21
2PR	21
ALO	21
FDP	21
UQ6	21
ET	21
MAG	21
HSX	21
NFA	21
UAP	21
IPM	21
31H	21
OMT	21
IMH	21
CMT	21
TDR	21
2AM	21
LOC	21
DO3	21
B3N	21
GMH	21
1GP	21
ZST	21
NFU	21
AR	21
IBM	21
DLU	20
LP5	20
P1L	20
402	20
HAR	20
COI	20
LPX	20
CYG	20
6MO	20
00S	20
PA1	20
3CN	20
A86	20
IND	20
7MT	20
DIF	20
DDZ	20
ILX	20
BYN	20
CSU	20
AM2	20
HBX	20
PH2	20
FC6	20
010	20
CH	20
ZOL	20
KCR	20
PD	20
SB4	20
NCT	20
NCN	19
5ID	19
UN9	19
FMC	19
HT	19
CAZ	19
E6G	19
FTT	19
NBG	19
RKL	19
PTD	19
XMM	19
JEF	19
MHW	19
XPC	19
G47	19
COD	19
OXD	19
PEU	19
RIS	19
P1T	19
Y1	19
FCA	19
KYN	19
DAM	19
GCV	19
GLP	19
OPE	19
2TM	19
BNZ	19
UGA	19
DEX	19
DFP	19
NGS	19
VDX	19
ATM	19
DM1	19
3AT	19
ZZ7	19
RCO	19
2CO	19
3HE	18
HNI	18
NGT	18
VIB	18
2PN	18
2TL	18
RIT	18
C42	18
MAW	18
NKP	18
DUT	18
MIS	18
DUR	18
B3A	18
PDC	18
SQU	18
MHG	18
OMP	18
48V	18
PFF	18
OAN	18
TPF	18
CO8	18
KDA	18
DHF	18
PPK	18
NFV	18
LAR	18
IHS	18
MIY	18
BER	18
3NG	18
NEH	18
LDT	18
8NI	18
PPN	18
PEA	18
2LJ	18
HDA	18
DCL	18
GVE	18
GET	17
BVQ	17
TYC	17
BMF	17
AVJ	17
17F	17
LPD	17
SIS	17
UFT	17
FOM	17
MA7	17
X77	17
BU2	17
PX2	17
RP5	17
DIV	17
PI	17
SHH	17
UED	17
QPT	17
YIO	17
GP3	17
HCI	17
G2L	17
AMG	17
NAL	17
CYT	17
PPY	17
NZC	17
DD6	17
R5P	17
SO1	17
VX	17
MTL	17
KC1	17
CAR	17
1W5	17
TRH	17
G16	17
HI6	17
ZNH	17
LU	17
HMR	17
GGB	17
N2O	17
HY1	17
FUB	17
SUI	17
G6D	17
N2C	17
L3P	17
FGO	17
9F2	17
GF2	16
RIA	16
GLO	16
BIL	16
16G	16
D16	16
TSN	16
GTS	16
0LI	16
ALD	16
MHV	16
CY3	16
BZI	16
TAC	16
S4M	16
PYZ	16
W0F	16
R78	16
Z99	16
CRS	16
V55	16
3PY	16
23E	16
PC7	16
MQ8	16
DAT	16
0Q4	16
DDS	16
P3G	16
C7Z	16
A5P	16
RH	16
PSA	16
TLN	16
Y5P	16
TCH	16
DUD	16
V5N	16
NBN	16
GUA	16
M6P	16
AH0	16
SFS	16
F3N	16
1WA	16
F42	16
ARF	16
CE1	16
GPJ	16
LYZ	16
PD2	16
VN4	16
PST	16
LOP	16
ML3	16
4HH	16
6PG	16
CFZ	16
CNA	16
JZ3	16
LLL	16
2KT	16
VCA	16
SVR	16
FOK	16
9IJ	15
S1P	15
ZNI	15
N2P	15
DCS	15
AIX	15
3FX	15
CPQ	15
X8Z	15
4BW	15
MK1	15
MLC	15
CXF	15
DBH	15
T3	15
ZIQ	15
P3S	15
TEP	15
B3Q	15
0GJ	15
YOF	15
OHT	15
BGL	15
V2M	15
AB1	15
ABH	15
HXA	15
HXG	15
9YF	15
A5A	15
PCD	15
LEA	15
GNG	15
OTA	15
22B	15
SET	15
WCC	15
G4S	15
ETM	15
DPM	15
LU2	15
M77	15
MYC	15
N8E	15
SCM	15
P6S	15
ACI	15
SEY	15
MMC	15
PYV	15
AG7	15
NAA	15
CUZ	15
RIO	15
GBS	15
1CC	15
ALN	15
MCN	15
AF2	15
1VU	15
DA8	15
PHN	15
M2M	15
MGL	15
RHQ	15
CHO	15
3HB	14
AAR	14
EU	14
MHU	14
PHS	14
DB8	14
DNR	14
P34	14
6IA	14
POG	14
CPN	14
3NI	14
LE1	14
CFL	14
BHG	14
PHA	14
LGC	14
CB4	14
SYN	14
GPN	14
ZEX	14
A38	14
HT1	14
GS	14
OHD	14
EDA	14
PAU	14
I7P	14
CP6	14
EPJ	14
DHL	14
BT5	14
RER	14
HAI	14
UMA	14
KNA	14
DM2	14
44E	14
RUB	14
FCN	14
AAE	14
PIM	14
GD3	14
TS6	14
4MO	14
GBM	14
IBP	14
SGA	14
F4S	14
MD1	14
ASB	14
PAB	14
BHE	14
AOV	14
B49	14
BLM	14
SKE	14
THC	14
P1O	14
02J	14
BML	14
MRZ	14
Z9N	14
MBG	14
IVM	14
6PE	14
KOU	14
EMO	14
0A1	14
12A	14
H6P	14
DHC	14
ENO	14
MMP	14
3CX	14
8GT	14
OCY	14
GP1	14
GN1	14
MNR	13
70U	13
TP9	13
DMY	13
SCA	13
GTB	13
BIF	13
GAU	13
C12	13
CFM	13
PID	13
7V7	13
IC6	13
GNS	13
MVL	13
GEN	13
V7T	13
3AB	13
DOL	13
BAP	13
U1	13
NEN	13
PLL	13
ONL	13
HAO	13
9Y0	13
PAP	13
970	13
IPD	13
PRX	13
HCY	13
PUB	13
TSA	13
OTY	13
TPN	13
5JK	13
BRL	13
NIT	13
FZ4	13
EVP	13
HTL	13
TOY	13
FOT	13
TSL	13
LKC	13
GZ6	13
HO	13
TAF	13
5OH	13
U2X	13
3D1	13
UN1	13
ELA	13
3MY	13
GW9	13
3VN	13
SPK	13
6ML	13
TSS	13
N7P	13
MB3	13
64T	13
DDR	13
JAA	13
DPV	13
4FO	13
PHU	13
C7R	13
F6F	13
PYC	13
QQ7	13
DP6	13
TDC	13
7PH	13
FWF	13
CER	13
EDK	13
4HY	13
PJE	13
TEO	13
8M0	13
C4J	13
TFB	13
9ON	13
GP7	13
CMH	13
HFK	13
A3S	13
TBA	13
BLR	13
NOV	13
COO	12
SDS	12
APN	12
DA2	12
1RG	12
EPU	12
SGV	12
SNM	12
V	12
56B	12
HEO	12
ZEA	12
HIP	12
LNR	12
PAE	12
03S	12
9XX	12
OHI	12
PCR	12
TEL	12
AMV	12
CSF	12
6PC	12
T3Q	12
MYK	12
NIZ	12
EU3	12
GFL	12
0O2	12
HZP	12
4D6	12
GCO	12
OEH	12
ME2	12
9UE	12
M0E	12
MNH	12
9JT	12
4SO	12
8GM	12
ISN	12
PXN	12
GAD	12
3HA	12
0EH	12
NME	12
5SQ	12
AGA	12
UDX	12
AD9	12
A12	12
ALQ	12
AMI	12
TF3	12
FII	12
JE6	12
RSP	12
AHD	12
5PY	12
ASO	12
IR3	12
PA5	12
GYP	12
CAU	12
152	12
2FU	12
PPS	12
QUO	12
XL3	12
CTG	12
PN7	12
P	12
YHR	12
BJX	12
BHO	12
XJ7	12
C49	12
